SAT,CSE-16,---,X,A-LH-205,ML,CC|SPM,A-DL-008,AD,A-DL-008,AD(L),AD(L)
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-17,---,X,B-305,X,ML,B-WL-102,AD,B-WL-102,AD(L),AD(L)
TUE,CSE-17,---,X,---,X,X,B-304,ML,B-304,CC|SPM,AI
WED,CSE-17,B-304,X,B-304,CC|SPM,UHV,---,X,---,X,X
THU,CSE-17,B-306,ML,B-306,AI,CC|SPM,A-LH-204,UHV,A-LH-204,X,X
FRI,CSE-17,B-203,ML,B-WL-102,AI(L),AI(L),B-302,AI,B-302,UHV,X
SAT,CSE-17,---,X,---,X,X,---,X,---,X,X
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-18,---,X,---,X,X,---,X,---,X,X
TUE,CSE-18,---,X,B-306,AI,UHV,B-WL-102,AD,B-WL-102,AD(L),AD(L)
WED,CSE-18,---,X,B-305,ML,CC|SPM,B-303,AI,B-303,X,X
THU,CSE-18,B-401,CC|SPM,B-401,ML,UHV,---,X,---,X,X
FRI,CSE-18,---,X,B-306,X,AI,B-303,CC|SPM,B-303,UHV,ML
SAT,CSE-18,A-LH-004,ML,A-DL-002,AI(L),AI(L),---,X,---,X,X
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-19,A-LH-005,ML,A-DL-002,AI(L),AI(L),B-304,CC|SPM,B-304,UHV,X
TUE,CSE-19,---,X,---,X,X,---,X,---,X,X
WED,CSE-19,---,X,B-306,X,UHV,A-DL-002,AD,A-DL-002,AD(L),AD(L)
THU,CSE-19,---,X,B-402,CC|SPM,AI,B-301,ML,B-301,X,X
FRI,CSE-19,B-401,X,B-401,AI,CC|SPM,B-304,ML,B-304,UHV,X
SAT,CSE-19,---,X,B-304,X,ML,A-LH-005,AI,---,X,X
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-20,---,X,---,X,X,B-305,UHV,B-305,CC|SPM,X
TUE,CSE-20,A-LH-004,ML,A-DL-002,AI(L),AI(L),B-305,AI,B-305,UHV,X
WED,CSE-20,---,X,---,X,X,---,X,---,X,X
THU,CSE-20,---,X,B-403,X,ML,A-DL-102,AD,A-DL-102,AD(L),AD(L)
FRI,CSE-20,---,X,B-402,CC|SPM,ML,B-305,AI,B-305,UHV,X
SAT,CSE-20,---,X,B-305,X,CC|SPM,B-203,AI,B-203,ML,X
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-21,---,X,B-401,X,CC|SPM,B-306,UHV,B-306,ML,AI
TUE,CSE-21,B-401,X,B-401,CC|SPM,AI,B-306,ML,B-306,UHV,X
WED,CSE-21,A-LH-005,ML,A-DL-002,AI(L),AI(L),B-304,CC|SPM,B-304,UHV,X
THU,CSE-21,---,X,---,X,X,---,X,---,X,X
FRI,CSE-21,---,X,---,X,X,A-DL-002,AD,A-DL-002,AD(L),AD(L)
SAT,CSE-21,---,X,B-306,X,AI,A-LH-009,ML,---,X,X
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-22,B-402,X,B-402,CC|SPM,UHV,---,X,---,X,X
TUE,CSE-22,---,X,B-402,X,X,B-401,AI,B-401,CC|SPM,ML
WED,CSE-22,B-401,ML,B-401,CC|SPM,UHV,---,X,---,X,X
THU,CSE-22,B-204,ML,B-WL-102,AI(L),AI(L),B-302,AI,B-302,UHV,X
FRI,CSE-22,---,X,---,X,X,---,X,---,X,X
SAT,CSE-22,---,X,B-401,ML,AI,B-WL-102,AD,B-WL-102,AD(L),AD(L)
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-23,---,X,B-403,X,ML,A-DL-002,AD,A-DL-002,AD(L),AD(L)
TUE,CSE-23,---,X,---,X,X,B-402,ML,B-402,AI,CC|SPM
WED,CSE-23,B-402,X,B-402,CC|SPM,AI,B-305,ML,B-305,UHV,X
THU,CSE-23,---,X,---,X,X,B-303,UHV,B-303,ML,AI
FRI,CSE-23,A-LH-005,CC|SPM,A-DL-002,AI(L),AI(L),B-306,UHV,B-306,X,X
SAT,CSE-23,---,X,---,X,X,---,X,---,X,X
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-24,---,X,---,X,X,---,X,---,X,X
